dataset,config,seconds
151507,agglomerative@sw0.0,8.944666666666667
151507,agglomerative@sw0.3,11.249699999999999
151507,agglomerative@sw0.8,11.025733333333333
151507,birch@sw0.0,9.402
151507,birch@sw0.3,11.317866666666667
151507,birch@sw0.8,10.749833333333333
151507,gaussian_mixture@sw0.0,9.526966666666667
151507,gaussian_mixture@sw0.3,11.399566666666667
151507,gaussian_mixture@sw0.8,11.225
151507,kmeans@sw0.0,8.402033333333334
151507,kmeans@sw0.3,10.4651
151507,kmeans@sw0.8,10.504533333333333
151507,spectral@sw0.0,15.297566666666667
151507,spectral@sw0.3,14.409466666666667
151507,spectral@sw0.8,10.7946
151669,agglomerative@sw0.0,11.411733333333332
151669,agglomerative@sw0.3,13.296266666666668
151669,agglomerative@sw0.8,12.885533333333333
151669,birch@sw0.0,12.509033333333335
151669,birch@sw0.3,12.9413
151669,birch@sw0.8,13.539633333333335
151669,gaussian_mixture@sw0.0,11.7065
151669,gaussian_mixture@sw0.3,13.855566666666666
151669,gaussian_mixture@sw0.8,14.741333333333335
151669,kmeans@sw0.0,11.4627
151669,kmeans@sw0.3,12.925566666666667
151669,kmeans@sw0.8,13.0199
151669,spectral@sw0.0,16.395633333333333
151669,spectral@sw0.3,16.23006666666667
151669,spectral@sw0.8,13.1651
151670,agglomerative@sw0.0,11.729933333333333
151670,agglomerative@sw0.3,12.792733333333333
151670,agglomerative@sw0.8,12.951300000000002
151670,birch@sw0.0,12.0991
151670,birch@sw0.3,12.750233333333334
151670,birch@sw0.8,13.0418
151670,gaussian_mixture@sw0.0,11.398033333333332
151670,gaussian_mixture@sw0.3,13.020833333333334
151670,gaussian_mixture@sw0.8,13.9082
151670,kmeans@sw0.0,11.5025
151670,kmeans@sw0.3,11.692866666666667
151670,kmeans@sw0.8,13.333566666666668
151670,spectral@sw0.0,15.922233333333333
151670,spectral@sw0.3,14.8523
151670,spectral@sw0.8,12.951466666666667
151673,agglomerative@sw0.0,11.901366666666666
151673,agglomerative@sw0.3,13.6145
151673,agglomerative@sw0.8,13.502466666666665
151673,birch@sw0.0,12.6834
151673,birch@sw0.3,13.266033333333334
151673,birch@sw0.8,13.843433333333332
151673,gaussian_mixture@sw0.0,13.431933333333333
151673,gaussian_mixture@sw0.3,14.625533333333331
151673,gaussian_mixture@sw0.8,14.220166666666666
151673,kmeans@sw0.0,12.204533333333332
151673,kmeans@sw0.3,13.4382
151673,kmeans@sw0.8,12.619733333333334
151673,spectral@sw0.0,15.214833333333333
151673,spectral@sw0.3,15.525333333333334
151673,spectral@sw0.8,13.111199999999998
151674,agglomerative@sw0.0,12.228466666666668
151674,agglomerative@sw0.3,13.097833333333334
151674,agglomerative@sw0.8,12.358733333333333
151674,birch@sw0.0,12.090733333333333
151674,birch@sw0.3,13.242733333333334
151674,birch@sw0.8,13.266433333333334
151674,gaussian_mixture@sw0.0,12.9749
151674,gaussian_mixture@sw0.3,13.919366666666667
151674,gaussian_mixture@sw0.8,13.6149
151674,kmeans@sw0.0,12.227400000000001
151674,kmeans@sw0.3,12.8178
151674,kmeans@sw0.8,12.653833333333333
151674,spectral@sw0.0,15.257433333333333
151674,spectral@sw0.3,13.640500000000001
151674,spectral@sw0.8,12.2971
merfish,agglomerative@sw0.0,1.9328666666666667
merfish,agglomerative@sw0.3,5.794433333333333
merfish,agglomerative@sw0.8,5.3228333333333335
merfish,birch@sw0.0,2.1853000000000002
merfish,birch@sw0.3,6.597766666666666
merfish,birch@sw0.8,5.47
merfish,gaussian_mixture@sw0.0,3.6567333333333334
merfish,gaussian_mixture@sw0.3,6.445133333333334
merfish,gaussian_mixture@sw0.8,8.2349
merfish,kmeans@sw0.0,2.999233333333333
merfish,kmeans@sw0.3,5.954866666666667
merfish,kmeans@sw0.8,6.9197
merfish,spectral@sw0.0,7.8522
merfish,spectral@sw0.3,13.933100000000001
merfish,spectral@sw0.8,10.307266666666665
slideseqv2,agglomerative@sw0.0,11.603033333333334
slideseqv2,agglomerative@sw0.3,14.618933333333333
slideseqv2,agglomerative@sw0.8,14.748833333333332
slideseqv2,birch@sw0.0,10.5371
slideseqv2,birch@sw0.3,14.040000000000001
slideseqv2,birch@sw0.8,13.065966666666668
slideseqv2,gaussian_mixture@sw0.0,14.820766666666666
slideseqv2,gaussian_mixture@sw0.3,19.531333333333333
slideseqv2,gaussian_mixture@sw0.8,16.5412
slideseqv2,kmeans@sw0.0,11.760766666666667
slideseqv2,kmeans@sw0.3,17.4009
slideseqv2,kmeans@sw0.8,14.517833333333334
slideseqv2,spectral@sw0.0,17.039599999999997
slideseqv2,spectral@sw0.3,17.3579
slideseqv2,spectral@sw0.8,15.289666666666667
xenium,agglomerative@sw0.0,1.7441000000000002
xenium,agglomerative@sw0.3,4.7168
xenium,agglomerative@sw0.8,5.567466666666667
xenium,birch@sw0.0,1.8525333333333334
xenium,birch@sw0.3,5.572833333333333
xenium,birch@sw0.8,5.695266666666666
xenium,gaussian_mixture@sw0.0,4.143633333333334
xenium,gaussian_mixture@sw0.3,8.347533333333333
xenium,gaussian_mixture@sw0.8,9.6855
xenium,kmeans@sw0.0,1.7669666666666668
xenium,kmeans@sw0.3,5.9769000000000005
xenium,kmeans@sw0.8,6.080566666666667
xenium,spectral@sw0.0,3.3118
xenium,spectral@sw0.3,6.4988
xenium,spectral@sw0.8,7.1355
