features,k,f1,precision,recall,domain_size
expression_only,5,0.3991,0.2599,0.8586,327
expression_only,7,0.4218,0.2796,0.8586,304
expression_only,8,0.4343,0.2956,0.8182,274
expression_only,10,0.4257,0.282,0.8687,305
expression_only,12,0.437,0.2931,0.8586,290
expression_only,15,0.4663,0.3348,0.7677,227
expression_only,20,0.4606,0.3238,0.798,244
expression_only,25,0.4819,0.3433,0.8081,233
expression_only,30,0.4964,0.3855,0.697,179
expression_only,40,0.5109,0.5529,0.4747,85
spatial_weighted_sw0.3,5,0.1192,0.0635,0.9798,1528
spatial_weighted_sw0.3,7,0.1117,0.0592,0.9798,1638
spatial_weighted_sw0.3,8,0.143,0.0772,0.9697,1244
spatial_weighted_sw0.3,10,0.1106,0.0586,0.9798,1655
spatial_weighted_sw0.3,12,0.1041,0.0553,0.8889,1591
spatial_weighted_sw0.3,15,0.1342,0.0736,0.7576,1019
spatial_weighted_sw0.3,20,0.2707,0.1626,0.8081,492
spatial_weighted_sw0.3,25,0.3388,0.2123,0.8384,391
spatial_weighted_sw0.3,30,0.4602,0.325,0.7879,240
spatial_weighted_sw0.3,40,0.5158,0.5385,0.4949,91
