category,method,n_success,time_exponent_k,time_r2,mem_exponent_k,mem_r2,max_scale_reached,status
qc,basic_qc,5,0.9466,0.9825,0.2959,0.831,1000000,ok
qc,gene_complexity_qc,5,0.9686,0.9832,0.3316,0.8456,1000000,ok
qc,library_size_qc,5,0.9548,0.9843,0.332,0.8449,1000000,ok
qc,mitochondrial_qc,5,0.955,0.9793,0.3322,0.8463,1000000,ok
normalization,arcsinh_transform,4,0.9672,0.9868,0.348,0.8511,500000,ok
normalization,clr_per_cell,4,0.9786,0.9877,0.3471,0.8506,500000,ok
normalization,library_size_scale,4,0.9658,0.9876,0.3477,0.8535,500000,ok
normalization,log1p_cp10k,4,0.9831,0.9878,0.3485,0.848,500000,ok
normalization,sqrt_transform,5,0.9667,0.9845,0.3768,0.86,1000000,ok
normalization,tfidf_l2,4,1.0322,0.9951,0.379,0.8656,500000,ok
domain_detection,agglomerative,2,,,,,10000,insufficient_points
domain_detection,birch,2,,,,,10000,insufficient_points
domain_detection,bisecting_kmeans,2,,,,,10000,insufficient_points
domain_detection,dbscan,2,,,,,10000,insufficient_points
domain_detection,gaussian_mixture,2,,,,,10000,insufficient_points
domain_detection,kmeans,2,,,,,10000,insufficient_points
domain_detection,mean_shift,2,,,,,10000,insufficient_points
domain_detection,minibatch_kmeans,2,,,,,10000,insufficient_points
domain_detection,optics,2,,,,,10000,insufficient_points
domain_detection,spectral,2,,,,,10000,insufficient_points
svg,gearys_c,2,,,,,10000,insufficient_points
svg,morans_i,4,0.9961,0.9924,0.3787,0.8642,500000,ok
svg,spatial_variance_ratio,2,,,,,10000,insufficient_points
neighborhood,spatial_graph,5,1.0336,0.9981,0.291,0.8274,1000000,ok
integration,combat,4,1.042,0.9933,0.4051,0.8737,500000,ok
integration,denoising_spatial_autoencoder,5,0.7775,0.9749,0.3407,0.8424,1000000,ok
integration,graph_expression_autoencoder,2,,,,,10000,insufficient_points
integration,harmony,5,0.6547,0.9643,0.3747,0.8674,1000000,ok
integration,spatial_autoencoder,5,0.5694,0.9066,0.3411,0.843,1000000,ok
integration,variational_spatial_autoencoder,5,0.5792,0.9172,0.3421,0.8412,1000000,ok
